Description,Location,Founded Year,Stage,Employee Count,Sector (Practice Area & Feed),Country,Cohort,Total Funding (USD; In Millions),Valuation (USD; In Millions),Annual Revenue (USD; In Millions),AI_Firm_Status,Age,,,,,,
It develops AI-powered software solutions for businesses,Mumbai,2016,Seed,24,"Internet of Things - Industry Applications > Connected Vehicles,
Auto Tech > Connected Vehicles,
Consumer > Road Transport Tech,
Travel and Hospitality Tech > Road Transport Tech,
Auto Tech > Road Transport Tech,
Transportation and Logistics Tech > Road Transport Tech,
Consumer > Logistics Tech,
Transportation and Logistics Tech > Logistics Tech",India,2016-2020,0.23,3.11,0.27,AI Firm,9,,,,,,
AI and cloud-enabled end-to-end procurement management solutions,Bengaluru,2016,Seed,61,"Enterprise Applications > SCM Software,
FinTech > Finance & Accounting Tech",India,2016-2020,3.99,15.21,0.79,AI Firm,9,,,,,,
Provider of logistics management SaaS platform for automated dispatch and real-time tracking,Bengaluru,2016,Seed,31,"Consumer > Logistics Tech,
Transportation and Logistics Tech > Logistics Tech",India,2016-2020,2.21,9.15,0.86,Non-AI Firm,9,,,,,,
Platform offering an all-in-one POS and business management system,Noida,2016,Series A,92,"Retail > In Store Retail Tech,
FinTech > Payments",India,2016-2020,8.1,23.83,0.78,Non-AI Firm,9,,,,,,
Online platform offering home healthcare services for elders,Hyderabad,2016,Seed,130,"Consumer > Local Services,
Unbundling of Craigslist > Local Services,
HealthTech > Healthcare Booking Platforms,
HealthTech > Assistive Tech",India,2016-2020,0.23,2.38,1.52,Non-AI Firm,9,,,,,,
Image based micro blogging platform,Bengaluru,2016,Seed,3,"Consumer > Social Platforms,
Media & Entertainment > Social Platforms,
Consumer > Vernacular Platforms,
Media & Entertainment > Digital Publishing Platforms",India,2016-2020,1.13,3.54,0.12,Non-AI Firm,9,,,,,,
Cloud-based enterprise collaboration platform for task management,Ahmedabad,2016,Seed,27,Enterprise Applications > Enterprise Collaboration,India,2016-2020,0.13,1.31,0.05,Non-AI Firm,9,,,,,,
Online learning platform offering a wide range of courses and resources,Mumbai,2016,Seed,3,"EdTech > Test Preparation Tech,
EdTech > Higher Education Tech,
EdTech > Continued Learning",India,2016-2020,0.02,0.3,0.4,Non-AI Firm,9,,,,,,
Developer of non-invasive diagnostic solutions for neonatal sepsis,Bengaluru,2016,Series A,1,Healthcare > Diversified Diagnostics,India,2016-2020,0.28,1.17,0.04,Non-AI Firm,9,,,,,,
Provider of various financial loans for businesses and individuals,Bengaluru,2016,Seed,4,FinTech > Alternative Lending,India,2016-2020,1.94,16.98,0.15,Non-AI Firm,9,,,,,,
Platform offering learning solutions for math and english,Bengaluru,2016,Seed,1,"EdTech > Continued Learning,
EdTech > K-12 EdTech",India,2016-2020,0.2,1.17,0.04,Non-AI Firm,9,,,,,,
NBFC offering loans for K-12 education,Bengaluru,2016,Early Stage,10,"Financial Services > Consumer and SME Loans,
FinTech > Payments",India,2016-2020,0.29,4.72,0.02,Non-AI Firm,9,,,,,,
Cloud-based visitor management system,Gurugram,2016,Seed,41,"Real Estate and Construction Tech > Facility Management Tech,
Enterprise Applications > Enterprise Collaboration",India,2016-2020,0.2,1.6,0.79,Non-AI Firm,9,,,,,,
Developer of tech platform for harvesting micro marine algae,Chennai,2016,Seed,11,"Food and Agriculture Tech > Aquaculture Tech,
Environment Tech > Air Pollution Management Tech,
Sustainability Tech > Air Pollution Management Tech,
Life Sciences > Nutraceuticals Tech",India,2016-2020,0.08,0.76,0.06,Non-AI Firm,9,,,,,,
One click checkout platform,Bengaluru,2016,Seed,3,"Retail > E-Commerce Enablers,
FinTech > Payments",India,2016-2020,0.46,2.29,0,Non-AI Firm,9,,,,,,
Provider of a customer support chatbot platform for e-commerce,Gurugram,2016,Seed,11,"Enterprise Applications > Sales Force Automation,
Retail > E-Commerce Enablers,
High Tech > Natural Language Processing,
Retail > Video Commerce,
Retail > Brands Tech",India,2016-2020,0.59,2.86,0.12,Non-AI Firm,9,,,,,,
Provider of multi category news portal,Lucknow,2016,Seed,12,Media & Entertainment > Internet First Media,India,2016-2020,9.32,5.45,0.32,Non-AI Firm,9,,,,,,
Platform offering AI-powered solutions for repurposing and recycling lithium-ion batteries,Delhi,2016,Seed,11,"Environment Tech > Solid Waste Management Tech,
Sustainability Tech > Solid Waste Management Tech,
Energy Tech > Electric Vehicles,
Auto Tech > Electric Vehicles",India,2016-2020,0.12,1.49,0.02,AI Firm,9,,,,,,
Online platform offering wealth management and financial products for individuals,Noida,2016,Series A,41,FinTech > Investment Tech,India,2016-2020,5.24,17.19,1.49,Non-AI Firm,9,,,,,,
Platform offering tools to manage coaching business,Delhi,2016,Seed,12,EdTech > Continued Learning,India,2016-2020,3.32,14.51,0.13,Non-AI Firm,9,,,,,,
Cloud-based audit platform for chartered accountants,Delhi,2016,Seed,8,FinTech > Finance & Accounting Tech,India,2016-2020,0.51,3.19,0.03,Non-AI Firm,9,,,,,,
An app-based platform to book salon appointments,Delhi,2016,Seed,1,"Consumer > Local Services,
Unbundling of Craigslist > Local Services,
Retail > Beauty Tech,
Enterprise Applications > SME Business Management Software",India,2016-2020,1.14,6.2,0.96,Non-AI Firm,9,,,,,,
Online platform offering a B2B marketplace for grocery products,Delhi,2016,Series A,8,"Retail > In Store Retail Tech,
Retail > B2B E-Commerce,
Retail > Brands Tech,
Food and Agriculture Tech > Online Grocery,
Retail > E-Commerce Enablers,
Consumer > Logistics Tech,
Transportation and Logistics Tech > Logistics Tech",India,2016-2020,7.35,13.46,0.25,Non-AI Firm,9,,,,,,
Internet first brand offering women sportswear,Bengaluru,2016,Seed,11,"Retail > Horizontal E-Commerce,
HealthTech > Fitness & Wellness Tech",India,2016-2020,0.4,0.42,0.01,Non-AI Firm,9,,,,,,
"Offers free access to the latest trend news, informative videos featuring healthcare experts",Bengaluru,2016,Seed,39,HealthTech > Healthcare IT,India,2016-2020,1.24,7.78,3.29,Non-AI Firm,9,,,,,,
"Technical talent sourcing, screening, and recruitment software",Bengaluru,2016,Seed,1,Enterprise Applications > HRTech,India,2016-2020,0.07,0.68,0.23,Non-AI Firm,9,,,,,,
Chain of Physiotherapy Clinics,Bengaluru,2016,Series A,54,Healthcare > Home Healthcare,India,2016-2020,0.16,0.35,0.51,AI Firm,9,,,,,,
Online platform that provides devotional services,Thanjavur,2016,Seed,1,"Consumer > Local Services,
Unbundling of Craigslist > Local Services,
Consumer > Religion Tech",India,2016-2020,0.03,0.14,0.03,Non-AI Firm,9,,,,,,
"Provider of online learning, marketing, education sales, relation management, and other services",Mumbai,2016,Seed,29,Education > Educational Support Services,India,2016-2020,0.54,4.05,0.96,Non-AI Firm,9,,,,,,
Online P2P marketplace for consumer and business loans,Bengaluru,2016,Seed,23,FinTech > Alternative Lending,India,2016-2020,7.79,26.32,0.89,Non-AI Firm,9,,,,,,
Fintech platform that provides individuals with a planning-first approach to achieve their financial goals,Bengaluru,2016,Seed,1,FinTech > Investment Tech,India,2016-2020,2.72,13.4,0.21,Non-AI Firm,9,,,,,,
Chemical market data and business insights,Mumbai,2016,Seed,11,Enterprise Applications > Data as a Service,India,2016-2020,1.22,2.53,0.08,Non-AI Firm,9,,,,,,
Provider of electric scooter rentals and business delivery solutions,Bengaluru,2016,Seed,68,"Consumer > Road Transport Tech,
Travel and Hospitality Tech > Road Transport Tech,
Auto Tech > Road Transport Tech,
Transportation and Logistics Tech > Road Transport Tech,
Energy Tech > Electric Vehicles,
Auto Tech > Electric Vehicles",India,2016-2020,0.67,4.91,0.8,Non-AI Firm,9,,,,,,
Provider of a fintech platform for travel solutions,Mumbai,2016,Seed,25,"FinTech > Alternative Lending,
Consumer > Online Travel,
Travel and Hospitality Tech > Online Travel",India,2016-2020,7.79,1.47,0.03,Non-AI Firm,9,,,,,,
"Provider of personal loans, home loans, car loans and small business loans",Noida,2016,Seed,9,FinTech > Alternative Lending,India,2016-2020,0.15,0.78,0.01,Non-AI Firm,9,,,,,,
Cloud-based suite solutions for business process management,Pune,2016,Series A,56,Enterprise Applications > Business Process Management Software,India,2016-2020,4.13,9.6,0.79,Non-AI Firm,9,,,,,,
Provider of offline-online exam solutions for educational institutions,Mumbai,2017,Seed,22,"EdTech > Higher Education Tech,
EdTech > K-12 EdTech",India,2016-2020,1.91,3.04,0.11,Non-AI Firm,8,,,,,,
Energy storage systems and management platform,Pune,2017,Series A,71,"Energy Tech > Energy Storage Tech,
Energy Tech > Renewable Energy Tech,
Environment Tech > Renewable Energy Tech,
Sustainability Tech > Renewable Energy Tech",India,2016-2020,7.45,32.29,2.63,Non-AI Firm,8,,,,,,
App-based platform offering solutions for practising singing,Bengaluru,2017,Seed,6,"Consumer > Music Tech,
Media & Entertainment > Music Tech,
EdTech > Continued Learning",India,2016-2020,1.38,6.81,0.07,Non-AI Firm,8,,,,,,
Online rental platform for home improvement products,Bengaluru,2017,Seed,1,"Real Estate and Construction Tech > Facility Management Tech,
Retail > B2B E-Commerce",India,2016-2020,1.29,5.19,0.93,Non-AI Firm,8,,,,,,
Cloud-based multi functional cognitive robotic process automation for enterprises,Mumbai,2017,Seed,18,"Enterprise Applications > Robotic Process Automation,
Enterprise Applications > Business Process Management Software,
Enterprise Applications > Digital Transaction Management,
High Tech > Chatbots",India,2016-2020,1.53,1.88,0.4,Non-AI Firm,8,,,,,,
Platform offering customer experience analytics software,"Claymont,
Bengaluru",2017,Series A,90,Enterprise Applications > Customer Success Management,"United States,
India",2016-2020,4.74,16.89,1.96,Non-AI Firm,8,,,,,,
AI powered content creation platform,Bengaluru,2017,Series A,7,"Enterprise Applications > MarketingTech,
High Tech > Generative AI,
Native AI > Generative AI",India,2016-2020,20.7,18.02,0.01,AI Firm,8,,,,,,
P2P based loans platform,Delhi,2017,Seed,2,FinTech > Alternative Lending,India,2016-2020,1.27,8.5,0,Non-AI Firm,8,,,,,,
Provider of a vernacular storytelling platform,Gurugram,2017,Series A,11,"Consumer > Social Platforms,
Media & Entertainment > Social Platforms,
Media & Entertainment > Digital Publishing Platforms,
Consumer > Vernacular Platforms",India,2016-2020,3.46,12.5,0.06,Non-AI Firm,8,,,,,,
"Marketplace for undergraduate students' notes, faculty notes, and solved question papers",Bhubaneswar,2017,Seed,10,EdTech > Higher Education Tech,India,2016-2020,2.85,4.22,0.1,Non-AI Firm,8,,,,,,
NFC-enabled payment card for consumers and businesses,Mumbai,2017,Seed,41,FinTech > Payments,India,2016-2020,4.73,11.99,0.09,Non-AI Firm,8,,,,,,
Provider of lending workflow solutions and AI-driven field assistance for financial institutions,Bengaluru,2017,Seed,43,FinTech > Alternative Lending,India,2016-2020,22.57,1.55,1.94,AI Firm,8,,,,,,
Online platform offering electric vehicles and related mobility solutions,Hyderabad,2017,Series A,43,"Energy Tech > Electric Vehicles,
Auto Tech > Electric Vehicles",India,2016-2020,3,16.98,0.51,Non-AI Firm,8,,,,,,
"Online retailer of makeup, skincare, and personal care products",Bengaluru,2017,Series A,29,"Retail > Beauty Tech,
Retail > Video Commerce,
Retail > Influencer E-Commerce",India,2016-2020,5.35,25.32,1.78,AI Firm,8,,,,,,
Cloud-based trade financing platform for businesses,Mumbai,2017,Series A,52,"Enterprise Applications > SCM Software,
Enterprise Applications > Manufacturing Tech,
Industrial Goods and Manufacturing > Manufacturing Tech,
Enterprise Applications > Enterprise Resource Planning,
FinTech > Finance & Accounting Tech",India,2016-2020,8.09,34.54,0.49,Non-AI Firm,8,,,,,,
Provider of sensor-based analytics solutions for in-store retailers,Bengaluru,2017,Seed,11,"High Tech > IoT Applications,
Internet of Things - Industry Applications > IoT Applications,
Retail > In Store Retail Tech,
High Tech > Computer Vision,
High Tech > Native AI Infrastructure,
Native AI > Native AI Infrastructure,
High Tech > Security & Surveillance Technology,
High Tech > Image Recognition,
Enterprise Applications > Big Data Analytics",India,2016-2020,2.06,2.89,0,AI Firm,8,,,,,,
Manufacturer of autonomous robotic solutions,Hyderabad,2017,Series A,11,"High Tech > Professional Service Robots,
Aerospace, Maritime and Defense Tech > Maritime Tech",India,2016-2020,4.72,22.84,0.33,Non-AI Firm,8,,,,,,
Image-based search engine for GIFs and stickers in multiple languages,Hyderabad,2017,Seed,3,"Consumer > Online Photos,
Media & Entertainment > Online Photos",India,2016-2020,3.18,7.53,0,Non-AI Firm,8,,,,,,
Online dispute resolution platform,Mumbai,2017,Seed,105,Enterprise Applications > Legal Tech,India,2016-2020,1.08,4.22,1.67,Non-AI Firm,8,,,,,,
"Online platform for buying bonds, debentures, and other fixed-income assets",Bengaluru,2017,Seed,51,FinTech > Investment Tech,India,2016-2020,3.09,4.06,0.83,Non-AI Firm,8,,,,,,
Developer of on-site green hydrogen production systems using wastewater,Bengaluru,2017,Seed,37,"Energy Tech > Energy Storage Tech,
Energy Tech > Renewable Energy Tech,
Environment Tech > Renewable Energy Tech,
Sustainability Tech > Renewable Energy Tech,
Environment Tech > Water and Wastewater Management Tech,
Sustainability Tech > Water and Wastewater Management Tech",India,2016-2020,3.58,11.48,0.18,Non-AI Firm,8,,,,,,
Online grievance redressal platform for individuals and businesses,Delhi,2017,Series B,104,"FinTech > Internet First Insurance Platforms,
InsurTech > Internet First Insurance Platforms",India,2016-2020,5.29,15.88,0.6,Non-AI Firm,8,,,,,,
Mobile application to build a professional network,Delhi,2017,Seed,1,"Consumer > Social Platforms,
Media & Entertainment > Social Platforms",India,2016-2020,1.48,6.97,0.14,Non-AI Firm,8,,,,,,
Provider of customer engagement and retention solutions for restaurants and retail businesses,Ahmedabad,2017,Seed,77,"Enterprise Applications > MarketingTech,
Retail > Coupons and Deals,
Enterprise Applications > Loyalty Software,
Food and Agriculture Tech > Food Tech",India,2016-2020,1.27,7.01,0.45,AI Firm,8,,,,,,
Developer of graphene and super capacitor based batteries,Mumbai,2017,Series A,26,"Energy Tech > Energy Storage Tech,
High Tech > Nanotechnology",India,2016-2020,7.93,40.48,0.05,Non-AI Firm,8,,,,,,
Medtrail offers AI solutions to help clinics/hospitals transform into 'Smart Clinics' & 'Smart Hospitals',Delhi,2017,Series A,6,HealthTech > Healthcare IT,India,2016-2020,4.44,14.09,0,AI Firm,8,,,,,,
Business intelligence platform for credit risk management and monitoring,Mumbai,2017,Seed,124,"Enterprise Applications > GRC Software,
Enterprise Applications > Vertical Business Intelligence,
FinTech > RegTech,
FinTech > Banking Tech",India,2016-2020,3.31,11.45,3.41,Non-AI Firm,8,,,,,,
Provider of integrated supply chain solutions for businesses,Mumbai,2017,Seed,74,"Consumer > Logistics Tech,
Transportation and Logistics Tech > Logistics Tech,
Retail > E-Commerce Enablers",India,2016-2020,1.68,6.52,2.29,AI Firm,8,,,,,,
Provider of payment gateway and related financial services,Mumbai,2017,Seed,11,FinTech > Payments,India,2016-2020,2.1,12.08,2.23,Non-AI Firm,8,,,,,,
"Online platform providing video-based courses for CA, CS, and CMA",Bengaluru,2017,Seed,6,EdTech > Test Preparation Tech,India,2016-2020,1.32,6.35,0.38,Non-AI Firm,8,,,,,,
Provider of HR and payroll software for streamlined employee management,Bengaluru,2017,Series A,33,Enterprise Applications > HRTech,India,2016-2020,3.01,7.98,0.33,AI Firm,8,,,,,,
Internet-first brand of multi category beauty care products,Delhi,2017,Series A,86,"Consumer Goods > Beauty & Personal Care Products,
Retail > Beauty Tech",India,2016-2020,8.79,22.85,2.53,Non-AI Firm,8,,,,,,
Developer of robotics and AI solutions for sanitation and confined space cleaning,Thiruvananthapuram,2017,Seed,104,"High Tech > Professional Service Robots,
Environment Tech > Water and Wastewater Management Tech,
Sustainability Tech > Water and Wastewater Management Tech",India,2016-2020,5.43,26.6,2.63,AI Firm,8,,,,,,
Provider of AI-powered visual inspection solutions for manufacturers,Bengaluru,2017,Series A,69,"Enterprise Applications > Manufacturing Tech,
Industrial Goods and Manufacturing > Manufacturing Tech,
High Tech > Computer Vision,
High Tech > Image Recognition",India,2016-2020,6.11,12.19,0.33,AI Firm,8,,,,,,
AI-powered platform providing curated investment portfolios and intraday trading baskets,Bengaluru,2017,Series A,37,FinTech > Investment Tech,India,2016-2020,9.55,9.6,1.67,AI Firm,8,,,,,,
Provider of an IoT-based smart sticker for cricket batting performance analysis,Bengaluru,2017,Seed,1,"Consumer > Sports Tech,
High Tech > IoT Applications,
Internet of Things - Industry Applications > IoT Applications",India,2016-2020,1.5,10.47,0,Non-AI Firm,8,,,,,,
Manufacturer of green propulsion systems for satellites,Mumbai,2017,Seed,77,"Aerospace, Maritime and Defense Tech > NewSpace",India,2016-2020,3.71,11.12,0.27,Non-AI Firm,8,,,,,,
Platform offering legal search engine,"Delhi,
Singapore",2017,Seed,25,Enterprise Applications > Legal Tech,"India,
Singapore",2016-2020,2.65,6.87,0.72,Non-AI Firm,8,,,,,,
Designs & manufactures electric vehicle drive train systems,Bengaluru,2017,Seed,66,"Energy Tech > Electric Vehicles,
Auto Tech > Electric Vehicles",India,2016-2020,3.51,10.99,0.2,AI Firm,8,,,,,,
Provider of AI-powered investment advisory and portfolio management solutions,Hyderabad,2017,Seed,35,FinTech > Investment Tech,India,2016-2020,3.5,9.97,0.31,AI Firm,8,,,,,,
Online brand offering a range of organic skincare products,Hyderabad,2017,Seed,38,"Retail > Beauty Tech,
Consumer Goods > Beauty & Personal Care Products",India,2016-2020,1.09,14.5,0.32,Non-AI Firm,8,,,,,,
Provider of an AI assistant platform for mobile and web apps,Bengaluru,2017,Series A,8,"High Tech > Chatbots,
Enterprise Infrastructure > Application Development Tools",India,2016-2020,2.39,13,0.18,AI Firm,8,,,,,,
Platform offering ad fraud detection software,Bengaluru,2017,Seed,19,"Enterprise Applications > AdTech,
Enterprise Infrastructure > Cybersecurity,
High Tech > Security & Surveillance Technology",India,2016-2020,2.11,7.76,0.47,Non-AI Firm,8,,,,,,
Cloud-based field workflow management suite solutions for frontline workers,Chennai,2017,Seed,65,"Enterprise Applications > Field Force Automation,
Enterprise Applications > Manufacturing Tech,
Industrial Goods and Manufacturing > Manufacturing Tech",India,2016-2020,1.59,3.99,1.49,Non-AI Firm,8,,,,,,
Provider of IoT interfaced equipment maintenance platform,Chennai,2017,Seed,41,"Enterprise Applications > Manufacturing Tech,
Industrial Goods and Manufacturing > Manufacturing Tech,
High Tech > IoT Applications,
Internet of Things - Industry Applications > IoT Applications",India,2016-2020,1.09,4.05,0.2,AI Firm,8,,,,,,
Provider of AI enabled operational insight solution for the aviation industry,Hyderabad,2017,Series A,73,"Travel and Hospitality Tech > Aviation IT,
Aerospace, Maritime and Defense Tech > Aviation IT,
Transportation and Logistics Tech > Aviation IT,
High Tech > Image Recognition,
High Tech > Computer Vision",India,2016-2020,7.83,5.28,1.49,AI Firm,8,,,,,,
Developer of self-driving tech for commercial vehicles,Bengaluru,2017,Seed,44,Auto Tech > Autonomous Vehicles,India,2016-2020,1.25,10.89,0.04,Non-AI Firm,8,,,,,,
Cloud-based freight transportation management platform,Kolkata,2017,Seed,160,"Consumer > Logistics Tech,
Transportation and Logistics Tech > Logistics Tech",India,2016-2020,3.46,11.99,0.88,Non-AI Firm,8,,,,,,
Platform developing tools for soil testing,Udupi,2017,Seed,2,Food and Agriculture Tech > Crop Tech,India,2016-2020,1.18,3.24,0.38,Non-AI Firm,8,,,,,,
Algo trading platform for stocks,Bengaluru,2017,Seed,1,FinTech > Investment Tech,India,2016-2020,1.35,7.25,0.89,Non-AI Firm,8,,,,,,
Manufacturer & brands of ayurvedic nutrition drinks,Delhi,2017,Seed,38,"Food and Agriculture > Food & Beverage Products,
Consumer Goods > Food & Beverage Products",India,2016-2020,5.54,11.38,2.73,Non-AI Firm,8,,,,,,
Manufacturer of electric motorcycles,Hyderabad,2017,Seed,124,"Energy Tech > Electric Vehicles,
Auto Tech > Electric Vehicles",India,2016-2020,2.54,37.58,0.03,Non-AI Firm,8,,,,,,
Online platform providing fashion jewellery,Mumbai,2017,Series A,10,"Consumer > Fashion Tech,
Retail > Fashion Tech",India,2016-2020,4,5,0.46,Non-AI Firm,8,,,,,,
Online gaming platform offering casual games,Delhi,2017,Series A,1,"Gaming > PC & Console Gaming,
Media & Entertainment > Gambling Tech,
Gaming > eSports",India,2016-2020,1.38,10.66,1.98,Non-AI Firm,8,,,,,,
Provider of hotel booking platform,Mumbai,2017,Seed,51,"Consumer > Online Travel,
Travel and Hospitality Tech > Online Travel",India,2016-2020,1.12,5.03,0.05,Non-AI Firm,8,,,,,,
Online platform offering smart fans and other home appliances,Gurugram,2017,Series A,9,"Energy Tech > Energy Efficiency Tech,
Environment Tech > Energy Efficiency Tech,
Sustainability Tech > Energy Efficiency Tech,
High Tech > Smart Homes,
Internet of Things - Industry Applications > Smart Homes,
Real Estate and Construction Tech > Facility Management Tech,
Retail > Consumer Electronics E-Commerce",India,2016-2020,6.08,8.65,1.43,Non-AI Firm,8,,,,,,
"Manufacturer of sugar-free, keto-friendly desserts and sweets",Bengaluru,2017,Seed,8,"Food and Agriculture Tech > Online Grocery,
Food and Agriculture > Food & Beverage Products,
Consumer Goods > Food & Beverage Products",India,2016-2020,1.04,2.39,0.45,Non-AI Firm,8,,,,,,
Standalone genetic testing laboratory center,Noida,2017,Seed,90,Healthcare > Clinical Laboratories,India,2016-2020,3.01,1.82,1.51,Non-AI Firm,8,,,,,,
Provider of AI-based integrated video analytics solution,Wilmington,2017,Seed,58,"High Tech > Security & Surveillance Technology,
High Tech > Computer Vision,
Enterprise Applications > Big Data Analytics,
Enterprise Applications > Business Intelligence","United States,
India",2016-2020,3.16,9.89,1.04,AI Firm,8,,,,,,
Internet first brand of herb-infused juices,Mumbai,2017,Series A,7,"Life Sciences > Nutraceuticals Tech,
Food and Agriculture Tech > Online Grocery",India,2016-2020,2.3,4.62,0.39,Non-AI Firm,8,,,,,,
Provider of virtual reality solutions,Mumbai,2017,Seed,21,"High Tech > Virtual Reality,
High Tech > Augmented Reality,
Gaming > PC & Console Gaming",India,2016-2020,13.46,20.1,1.75,Non-AI Firm,8,,,,,,
Provider of A2 milk and dairy products via subscription,Mumbai,2017,Seed,13,"Food and Agriculture > Food & Beverage Products,
Consumer Goods > Food & Beverage Products,
Food and Agriculture Tech > Online Grocery",India,2016-2020,1.85,6.15,0.56,AI Firm,8,,,,,,
Online platform that enables secure sharing of data between financial institutions,Pune,2017,Seed,36,FinTech > Banking Tech,India,2016-2020,2.81,3.97,0.02,Non-AI Firm,8,,,,,,
Mobile-based platform providing parenting solution,Mumbai,2017,Seed,26,EdTech > Continued Learning,India,2016-2020,2.16,5.31,2.51,Non-AI Firm,8,,,,,,
"Premium sneakers, sports equipment, and apparel retailer",Mumbai,2017,Series A,3,"Consumer > Sports Tech,
Consumer > Fashion Tech,
Retail > Fashion Tech",India,2016-2020,4.05,8.02,0.77,AI Firm,8,,,,,,
Provider of online B2B marketplace for maritime services and logistics,Delhi,2017,Series A,11,"Retail > B2B E-Commerce,
Aerospace, Maritime and Defense Tech > Maritime Tech,
Consumer > Logistics Tech,
Transportation and Logistics Tech > Logistics Tech",India,2016-2020,3.03,3.95,3.19,Non-AI Firm,8,,,,,,
Manufacturer of natural nutritional supplements and cold-pressed oils,Mumbai,2017,Seed,59,Healthcare > Traditional Nutraceuticals,India,2016-2020,1.55,3.84,1.63,Non-AI Firm,8,,,,,,
Manufacturer of tyres,Pune,2017,Seed,64,"Auto > Auto Components,
Internet of Things - Industry Applications > Connected Vehicles,
Auto Tech > Connected Vehicles",India,2016-2020,1.01,3.33,1.25,Non-AI Firm,8,,,,,,
Online e-learning and media platform,Mumbai,2017,Seed,2,"EdTech > K-12 EdTech,
Business Services > Marketing Services",India,2016-2020,1.74,34.05,0,Non-AI Firm,8,,,,,,
Provider of microinsurance products for individuals,Gurugram,2017,Series D,1,"FinTech > Internet First Insurance Platforms,
InsurTech > Internet First Insurance Platforms",India,2016-2020,12.19,6.92,1.1,Non-AI Firm,8,,,,,,
Provider of indigenous robotics & automation for solar power plants,Faridabad,2017,Series A,35,"Energy Tech > Renewable Energy Tech,
Environment Tech > Renewable Energy Tech,
Sustainability Tech > Renewable Energy Tech,
High Tech > Professional Service Robots",India,2016-2020,1.59,3.05,0.77,Non-AI Firm,8,,,,,,
Online retailer of baby products,Noida,2017,Seed,6,Retail > Mom & Baby Care,India,2016-2020,1.76,4.96,0.04,AI Firm,8,,,,,,
Smartphone-linked credit cards for consumers,Gurugram,2017,Seed,2,"FinTech > Payments,
FinTech > Alternative Lending",India,2016-2020,1.54,8.76,0.11,Non-AI Firm,8,,,,,,
Provider of AI-based contingent workforce management platform for time & attendance management,Pune,2017,Seed,31,"Enterprise Applications > HRTech,
High Tech > Computer Vision,
Gig Economy > Gig Employer IT,
Enterprise Applications > Field Force Automation",India,2016-2020,2.4,11.38,0.8,AI Firm,8,,,,,,
Provider of point-of-sale financing for businesses,Sanquelim,2017,Seed,4,"FinTech > Alternative Lending,
Retail > B2B E-Commerce,
Retail > In Store Retail Tech,
Retail > E-Commerce Enablers",India,2016-2020,2.08,4.98,2.13,Non-AI Firm,8,,,,,,
Provider of cost analytics and management solutions for foodservice businesses,Coimbatore,2017,Seed,40,Food and Agriculture Tech > Food Tech,India,2016-2020,1.6,15.51,0.4,Non-AI Firm,8,,,,,,
Cloud-based platform providing relocation services for enterprises,Hyderabad,2017,Seed,19,"Consumer > Logistics Tech,
Transportation and Logistics Tech > Logistics Tech",India,2016-2020,2.01,6.09,1.38,Non-AI Firm,8,,,,,,
"Provider of banking, lending, insurance, and transaction management solutions for small businesses",Gurugram,2017,Series A,2,"FinTech > Banking Tech,
FinTech > Alternative Lending",India,2016-2020,12.33,22.06,1.45,Non-AI Firm,8,,,,,,
Online luxury beauty brand offering multi-category organic skincare products,Raipur,2017,Series A,30,"Consumer Goods > Beauty & Personal Care Products,
Retail > Beauty Tech",India,2016-2020,9.95,35.05,0,Non-AI Firm,8,,,,,,
Chain of dialysis clinics,Gurugram,2017,Series B,72,Healthcare > Clinic Chains,India,2016-2020,4.62,13.19,2.71,AI Firm,8,,,,,,
Manufacturer of optical communication systems for space applications,Bengaluru,2017,Seed,1,"Aerospace, Maritime and Defense Tech > NewSpace",India,2016-2020,1.93,7.44,0.09,Non-AI Firm,8,,,,,,
Cloud and AI based platform offering sales playbook automation software,Bengaluru,2017,Seed,82,Enterprise Applications > Sales Force Automation,India,2016-2020,4.52,24.19,1.45,AI Firm,8,,,,,,
Manufacturer of biodegradable and compostable bioplastic granules using agri waste,Faridabad,2017,Seed,3,"Environment Tech > Solid Waste Management Tech,
Sustainability Tech > Solid Waste Management Tech,
High Tech > Advanced Materials,
Chemicals and Materials Tech > Advanced Materials",India,2016-2020,1.27,3.97,0.1,Non-AI Firm,8,,,,,,
Provider of AI-powered quiz application,"Bengaluru,
Seoul",2017,Series A,24,EdTech > K-12 EdTech,"India,
South Korea",2016-2020,2.5,10,0.61,AI Firm,8,,,,,,
Online platform connecting businesses with truck transportation services for goods across India,Gurugram,2017,Seed,1.7,"Consumer > Logistics Tech,
Transportation and Logistics Tech > Logistics Tech",India,2016-2020,2.01,3.38,0,Non-AI Firm,8,,,,,,
Voice based interactive english learning app,Bengaluru,2017,Seed,3,"EdTech > Continued Learning,
EdTech > K-12 EdTech",India,2016-2020,1.42,5.02,0.26,Non-AI Firm,8,,,,,,
Online brand offering flours,Noida,2017,Seed,14,"Food and Agriculture > Food & Beverage Products,
Consumer Goods > Food & Beverage Products,
Food and Agriculture Tech > Online Grocery",India,2016-2020,1.84,7.46,0.34,Non-AI Firm,8,,,,,,
Provider of electromagnetic analysis and simulation tools for design validation,Bengaluru,2017,Series A,24,"Enterprise Applications > Manufacturing Tech,
Industrial Goods and Manufacturing > Manufacturing Tech,
Semiconductors > Electronic Design Automation Tools",India,2016-2020,3.99,2.4,0.9,Non-AI Firm,8,,,,,,
